pays,dispo_alimentaire,dispo_proteine,production,importations,dispo_interieure,population,croissance_population_5ans,PIB_habitant,stabilite_politique,distance_paris_km,PIB_total
Timor-Leste,4.24,1.46,1.0,11.0,5.0,1243258,9.732090372941075,1285.523946,0.07,13117.045990796005,1598237930
Togo,7.06,2.39,40.0,16.0,54.0,7698474,13.650591565247854,813.395007,-0.87,4736.228367699479,6261900313
Trinité-et-Tobago,54.54,16.63,61.0,23.0,76.0,1384059,2.9178647832905398,16258.68897,0.27,7218.640387608886,22502984797
Tunisie,17.03,6.28,213.0,0.0,195.0,11433443,5.406480057807679,3569.718839,-1.02,1480.1195659645166,40814176872
Turkménistan,4.52,1.53,20.0,9.0,27.0,5757667,9.297196226200194,6738.439771,-0.13,4587.7237886529465,38797692301
Turquie,20.64,6.99,2192.0,3.0,1674.0,81116450,8.660829285053593,10464.007788,-1.79,2603.0084417741828,848803164535
Ukraine,22.62,7.58,1211.0,121.0,1009.0,44487709,-2.125447976787686,2510.017662,-1.87,2029.6662101758766,111664935332
Uruguay,9.12,2.97,33.0,3.0,33.0,3436641,1.7066122122833107,18995.397019,1.04,10935.069681107938,65280360207
Vanuatu,11.66,4.05,1.0,4.0,3.0,285510,14.433324382061652,3032.145892,0.68,16328.901901604111,865707974
Venezuela (République bolivarienne du),20.28,7.23,600.0,25.0,626.0,29402484,0.14184541128715097,8083.225762,-1.25,7621.715324799242,237666916136
Viet Nam,12.33,4.01,918.0,291.0,1206.0,94600648,5.343673809401371,2992.071534,0.21,9212.36467200807,283051905979
Yémen,8.53,3.04,168.0,78.0,246.0,27834819,13.736021533451847,612.353054,-2.93,5309.259394733116,17044736422
Zambie,3.42,1.15,49.0,12.0,60.0,16853599,16.511747199303155,1497.004453,0.14,7564.550425746683,25229912752
Zimbabwe,4.68,1.59,69.0,6.0,76.0,14236595,8.550759998932532,1494.170144,-0.71,7914.430822955017,21271895201
Égypte,12.96,4.51,1118.0,110.0,1250.0,96442591,11.594640051172938,1917.049576,-1.43,3212.4843924920447,184885228185
Émirats arabes unis,43.47,14.8,48.0,433.0,412.0,9487203,3.7805980487433484,43063.967477,0.6,5247.248668875715,408556601440
Équateur,19.31,6.15,340.0,0.0,341.0,16785361,8.47390100400663,6246.404252,-0.08,9352.259136926381,104848150322
États-Unis d'Amérique,55.68,19.93,21914.0,123.0,18266.0,325084756,3.515709595810153,59468.227644,0.26,6180.838912454685,19332214273402
Éthiopie,0.13,0.04,14.0,1.0,14.0,106399924,14.745372126571354,709.761008,-1.68,5553.242455091712,75518517309
Îles Salomon,4.45,1.51,0.0,6.0,3.0,636039,14.382542985237285,2283.581124,0.19,15165.284661215299,1452446655
